post_id,influencer_id,platform,date,url,caption,reach,likes,comments
1,1,Facebook,2025-02-03,http://facebook.com/posts/1,Check out Gritzo Peanut Butter! #ad,6136,165,10
2,1,Facebook,2025-06-22,http://facebook.com/posts/2,Check out Gritzo Oats! #ad,7638,164,10
3,1,Facebook,2025-03-15,http://facebook.com/posts/3,Check out Gritzo Chia Seeds! #ad,5186,155,22
4,1,Facebook,2025-05-15,http://facebook.com/posts/4,Check out HKVitals Multivitamins! #ad,7024,238,42
5,1,Facebook,2025-06-25,http://facebook.com/posts/5,Check out MuscleBlaze BCAA! #ad,6908,234,19
6,1,Facebook,2025-06-26,http://facebook.com/posts/6,Check out HKVitals Multivitamins! #ad,5474,135,23
7,2,Twitter,2025-07-05,http://twitter.com/status/7,Check out MuscleBlaze BCAA! #ad,29561,775,145
8,2,Twitter,2025-02-13,http://twitter.com/status/8,Check out Gritzo Peanut Butter! #ad,36287,1847,331
9,2,Twitter,2025-05-21,http://twitter.com/status/9,Check out MuscleBlaze BCAA! #ad,22473,1192,197
10,2,Twitter,2025-02-14,http://twitter.com/status/10,Check out MuscleBlaze Protein Powder! #ad,28119,1199,209
11,2,Twitter,2025-03-02,http://twitter.com/status/11,Check out HKVitals Omega 3! #ad,25018,834,158
12,2,Twitter,2025-06-04,http://twitter.com/status/12,Check out MuscleBlaze BCAA! #ad,32752,1529,132
13,2,Twitter,2025-04-29,http://twitter.com/status/13,Check out HKVitals Omega 3! #ad,39198,2038,272
14,2,Twitter,2025-06-11,http://twitter.com/status/14,Check out HKVitals Multivitamins! #ad,25373,548,53
15,2,Twitter,2025-03-22,http://twitter.com/status/15,Check out MuscleBlaze Protein Powder! #ad,37809,1828,288
16,3,Twitter,2025-06-05,http://twitter.com/status/16,Check out HKVitals Omega 3! #ad,35835,1868,133
17,3,Twitter,2025-02-25,http://twitter.com/status/17,Check out MuscleBlaze BCAA! #ad,30187,1000,137
18,3,Twitter,2025-07-22,http://twitter.com/status/18,Check out Gritzo Peanut Butter! #ad,26704,1865,131
19,3,Twitter,2025-05-05,http://twitter.com/status/19,Check out MuscleBlaze Protein Powder! #ad,35423,979,72
20,3,Twitter,2025-06-10,http://twitter.com/status/20,Check out HKVitals Probiotics! #ad,21490,839,167
21,3,Twitter,2025-05-12,http://twitter.com/status/21,Check out HKVitals Probiotics! #ad,35417,728,115
22,3,Twitter,2025-06-10,http://twitter.com/status/22,Check out Gritzo Peanut Butter! #ad,33807,1251,117
23,3,Twitter,2025-03-01,http://twitter.com/status/23,Check out HKVitals Multivitamins! #ad,37042,2363,211
24,4,YouTube,2025-05-08,http://youtube.com/watch?v=24,Check out MuscleBlaze BCAA! #ad,53189,2763,390
25,4,YouTube,2025-02-28,http://youtube.com/watch?v=25,Check out HKVitals Multivitamins! #ad,61936,3649,472
26,4,YouTube,2025-01-29,http://youtube.com/watch?v=26,Check out Gritzo Peanut Butter! #ad,60093,1537,160
27,4,YouTube,2025-07-10,http://youtube.com/watch?v=27,Check out HKVitals Multivitamins! #ad,44457,2840,545
28,4,YouTube,2025-02-15,http://youtube.com/watch?v=28,Check out Gritzo Peanut Butter! #ad,71979,4959,644
29,4,YouTube,2025-02-23,http://youtube.com/watch?v=29,Check out MuscleBlaze BCAA! #ad,59609,2830,254
30,4,YouTube,2025-07-18,http://youtube.com/watch?v=30,Check out Gritzo Peanut Butter! #ad,77365,5140,839
31,5,YouTube,2025-06-17,http://youtube.com/watch?v=31,Check out HKVitals Omega 3! #ad,36069,1893,219
32,5,YouTube,2025-05-10,http://youtube.com/watch?v=32,Check out HKVitals Multivitamins! #ad,23601,547,29
33,5,YouTube,2025-05-17,http://youtube.com/watch?v=33,Check out MuscleBlaze BCAA! #ad,23139,544,78
34,5,YouTube,2025-03-15,http://youtube.com/watch?v=34,Check out MuscleBlaze Protein Powder! #ad,33808,795,68
